event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,odds_decimal_betano,status_selection_betano,deadline,payout_betinia,payout_expekt,payout_betano,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_betinia_over_betano,ratio_betano_over_betinia,ratio_expekt_over_betano,ratio_betano_over_expekt,best_payout,best_bookmaker,second_best_payout,ratio_best_over_second
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 2.5,1.5455,Open,Spillers samlede antal skud | Ansgar Knauff,nan,2.0,Open,2026-01-09T19:30:00+00:00,3.8,Open,2026-01-09T19:30:00+00:00,1.5455,2.0,3.8,0.77275,1.2940795858945324,0.4067105263157895,2.4587512131996117,0.5263157894736842,1.9,3.8,Betano,2.0,1.9
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 0.5,3.2,Open,Spillers samlede antal assister | Jean Matteo Bahoya,nan,6.0,Open,2026-01-09T19:30:00+00:00,,,,3.2,6.0,,0.5333333333333333,1.875,,,,,6.0,Expekt,3.2,1.875
Cameroun vs Marokko,Bryan Mbeumo,Over 1.5,,,Spillers samlede antal skud | Bryan Mbeumo,,1.36,Open,2026-01-09T19:00:00+00:00,2.55,Open,2026-01-09T19:00:00+00:00,,1.36,2.55,,,,,0.5333333333333334,1.8749999999999998,2.55,Betano,1.36,1.8749999999999998
Cameroun vs Marokko,Jawad El Yamiq,Yes,,,Spiller får kort | Jawad El Yamiq,,5.0,Open,2026-01-09T19:00:00+00:00,2.67,Open,2026-01-09T19:00:00+00:00,,5.0,2.67,,,,,1.8726591760299627,0.534,5.0,Expekt,2.67,1.8726591760299627
Cameroun vs Marokko,Soufiane Rahimi,Over 4.5,,,Spillers samlede antal skud | Soufiane Rahimi,,6.5,Open,2026-01-09T19:00:00+00:00,3.5,Open,2026-01-09T19:00:00+00:00,,6.5,3.5,,,,,1.8571428571428572,0.5384615384615384,6.5,Expekt,3.5,1.8571428571428572
Cameroun vs Marokko,Ayoub El Kaabi,Over 4.5,,,Spillers samlede antal skud | Ayoub El Kaabi,,2.05,Open,2026-01-09T19:00:00+00:00,3.8,Open,2026-01-09T19:00:00+00:00,,2.05,3.8,,,,,0.5394736842105263,1.853658536585366,3.8,Betano,2.05,1.853658536585366
Getafe CF vs Real Sociedad,Ismael Bekhoucha,Yes,,,Spiller får kort | Ismael Bekhoucha,,2.3,Open,2026-01-09T20:00:00+00:00,4.25,Open,2026-01-09T20:00:00+00:00,,2.3,4.25,,,,,0.5411764705882353,1.847826086956522,4.25,Betano,2.3,1.847826086956522
Getafe CF vs Real Sociedad,Joselu Perez,Yes,,,Spiller får kort | Joselu Perez,,2.88,Open,2026-01-09T20:00:00+00:00,5.3,Open,2026-01-09T20:00:00+00:00,,2.88,5.3,,,,,0.5433962264150943,1.8402777777777777,5.3,Betano,2.88,1.8402777777777777
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 1.5,2.3,Open,Spiller Frispark Begået | Jean Matteo Bahoya,nan,4.2,Open,2026-01-09T19:30:00+00:00,,,,2.3,4.2,,0.5476190476190476,1.8260869565217392,,,,,4.2,Expekt,2.3,1.8260869565217392
Cameroun vs Marokko,Soufiane Rahimi,Over 3.5,,,Spillers samlede antal skud | Soufiane Rahimi,,3.75,Open,2026-01-09T19:00:00+00:00,2.12,Open,2026-01-09T19:00:00+00:00,,3.75,2.12,,,,,1.7688679245283019,0.5653333333333334,3.75,Expekt,2.12,1.7688679245283019
Getafe CF vs Real Sociedad,Mario Martin,Over 0.5,,,Antal afslutninger på mål | Mario Martin,,2.38,Open,2026-01-09T20:00:00+00:00,4.15,Open,2026-01-09T20:00:00+00:00,,2.38,4.15,,,,,0.5734939759036144,1.7436974789915969,4.15,Betano,2.38,1.7436974789915969
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 2.5,1.6154,Open,Spillers samlede antal skud | Younes Ebnoutalib,nan,1.73,Open,2026-01-09T19:30:00+00:00,3.0,Open,2026-01-09T19:30:00+00:00,1.6154,1.73,3.0,0.933757225433526,1.0709421815030333,0.5384666666666666,1.857125170236474,0.5766666666666667,1.7341040462427746,3.0,Betano,1.73,1.7341040462427746
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 0.5,2.75,Open,Antal afslutninger på mål | Nathaniel Brown,nan,1.91,Open,2026-01-09T19:30:00+00:00,4.75,Open,2026-01-09T19:30:00+00:00,2.75,1.91,4.75,1.4397905759162304,0.6945454545454545,0.5789473684210527,1.7272727272727273,0.40210526315789474,2.486910994764398,4.75,Betano,2.75,1.7272727272727273
