event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Arsenal vs Liverpool,Stefan Bajcetic,Over 2.5,3.5,Open,Spiller Frispark Begået | Stefan Bajcetic,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Tommy Pilling,Over 0.5,1.22,Open,Spiller Frispark Begået | Tommy Pilling,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Tommy Pilling,Over 1.5,2.05,Open,Spiller Frispark Begået | Tommy Pilling,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Tommy Pilling,Over 2.5,4.0,Open,Spiller Frispark Begået | Tommy Pilling,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Trent Kone-Doherty,Over 0.5,1.23,Open,Spiller Frispark Begået | Trent Kone-Doherty,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Trent Kone-Doherty,Over 1.5,2.1,Open,Spiller Frispark Begået | Trent Kone-Doherty,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Trent Kone-Doherty,Over 2.5,4.25,Open,Spiller Frispark Begået | Trent Kone-Doherty,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Treymaurice Nyoni,Over 0.5,1.4,Open,Spiller Frispark Begået | Treymaurice Nyoni,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Treymaurice Nyoni,Over 1.5,2.8,Open,Spiller Frispark Begået | Treymaurice Nyoni,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Viktor Gyökeres,Over 0.5,1.45,Open,Spiller Frispark Begået | Viktor Gyökeres,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Viktor Gyökeres,Over 1.5,3.0,Open,Spiller Frispark Begået | Viktor Gyökeres,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Virgil van Dijk,Over 0.5,1.82,Open,Spiller Frispark Begået | Virgil van Dijk,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Virgil van Dijk,Over 1.5,4.75,Open,Spiller Frispark Begået | Virgil van Dijk,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Wataru Endo,Over 0.5,1.09,Open,Spiller Frispark Begået | Wataru Endo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Wataru Endo,Over 1.5,1.55,Open,Spiller Frispark Begået | Wataru Endo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Wataru Endo,Over 2.5,2.65,Open,Spiller Frispark Begået | Wataru Endo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Wellity Lucky,Over 0.5,1.28,Open,Spiller Frispark Begået | Wellity Lucky,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Wellity Lucky,Over 1.5,2.3,Open,Spiller Frispark Begået | Wellity Lucky,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Wellity Lucky,Over 2.5,5.0,Open,Spiller Frispark Begået | Wellity Lucky,2026-01-08T20:00:00Z
Arsenal vs Liverpool,William Saliba,Over 0.5,1.8,Open,Spiller Frispark Begået | William Saliba,2026-01-08T20:00:00Z
Arsenal vs Liverpool,William Saliba,Over 1.5,4.5,Open,Spiller Frispark Begået | William Saliba,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Alexis Mac Allister,Over 0.5,1.4,Open,Spillers samlede antal skud | Alexis Mac Allister,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Alexis Mac Allister,Over 1.5,2.75,Open,Spillers samlede antal skud | Alexis Mac Allister,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Alexis Mac Allister,Over 2.5,6.0,Open,Spillers samlede antal skud | Alexis Mac Allister,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Amara Nallo,Over 0.5,2.05,Open,Spillers samlede antal skud | Amara Nallo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Amara Nallo,Over 1.5,5.5,Open,Spillers samlede antal skud | Amara Nallo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 2.5,1.52,Open,Spillers samlede antal skud | Andre HarrimanAnnous,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 3.5,2.25,Open,Spillers samlede antal skud | Andre HarrimanAnnous,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 4.5,3.7,Open,Spillers samlede antal skud | Andre HarrimanAnnous,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andrew Robertson,Over 0.5,2.55,Open,Spillers samlede antal skud | Andrew Robertson,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andrew Robertson,Over 1.5,9.0,Open,Spillers samlede antal skud | Andrew Robertson,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ben White,Over 0.5,1.62,Open,Spillers samlede antal skud | Ben White,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ben White,Over 1.5,3.7,Open,Spillers samlede antal skud | Ben White,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Bukayo Saka,Over 2.5,1.55,Open,Spillers samlede antal skud | Bukayo Saka,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Bukayo Saka,Over 3.5,2.3,Open,Spillers samlede antal skud | Bukayo Saka,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Bukayo Saka,Over 4.5,3.9,Open,Spillers samlede antal skud | Bukayo Saka,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Calvin Ramsay,Over 0.5,2.15,Open,Spillers samlede antal skud | Calvin Ramsay,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Calvin Ramsay,Over 1.5,6.5,Open,Spillers samlede antal skud | Calvin Ramsay,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Carter Pinnington,Over 0.5,2.05,Open,Spillers samlede antal skud | Carter Pinnington,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Carter Pinnington,Over 1.5,5.5,Open,Spillers samlede antal skud | Carter Pinnington,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Charles Sagoe Jr,Over 1.5,1.42,Open,Spillers samlede antal skud | Charles Sagoe Jr,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Charles Sagoe Jr,Over 2.5,2.2,Open,Spillers samlede antal skud | Charles Sagoe Jr,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Charles Sagoe Jr,Over 3.5,3.9,Open,Spillers samlede antal skud | Charles Sagoe Jr,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Christian Nørgaard,Over 0.5,1.4,Open,Spillers samlede antal skud | Christian Nørgaard,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Christian Nørgaard,Over 1.5,2.75,Open,Spillers samlede antal skud | Christian Nørgaard,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Christian Nørgaard,Over 2.5,6.0,Open,Spillers samlede antal skud | Christian Nørgaard,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Cody Gakpo,Over 0.5,1.2,Open,Spillers samlede antal skud | Cody Gakpo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Cody Gakpo,Over 1.5,1.95,Open,Spillers samlede antal skud | Cody Gakpo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Cody Gakpo,Over 2.5,3.8,Open,Spillers samlede antal skud | Cody Gakpo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Conor Bradley,Over 0.5,2.0,Open,Spillers samlede antal skud | Conor Bradley,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Conor Bradley,Over 1.5,5.5,Open,Spillers samlede antal skud | Conor Bradley,2026-01-08T20:00:00Z
