event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Roma vs Sassuolo,Gianluca Mancini,Over 1.5,1.63,Open,Spiller Frispark Begået | Gianluca Mancini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Gianluca Mancini,Over 2.5,2.85,Open,Spiller Frispark Begået | Gianluca Mancini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Ismael Kone,Over 0.5,1.14,Open,Spiller Frispark Begået | Ismael Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Ismael Kone,Over 1.5,1.79,Open,Spiller Frispark Begået | Ismael Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Ismael Kone,Over 2.5,3.2,Open,Spiller Frispark Begået | Ismael Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jan Ziolkowski,Over 0.5,1.29,Open,Spiller Frispark Begået | Jan Ziolkowski,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jan Ziolkowski,Over 1.5,2.4,Open,Spiller Frispark Begået | Jan Ziolkowski,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jay Idzes,Over 0.5,1.25,Open,Spiller Frispark Begået | Jay Idzes,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jay Idzes,Over 1.5,2.25,Open,Spiller Frispark Begået | Jay Idzes,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Josh Doig,Over 0.5,1.19,Open,Spiller Frispark Begået | Josh Doig,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Josh Doig,Over 1.5,2.06,Open,Spiller Frispark Begået | Josh Doig,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kostas Tsimikas,Over 0.5,1.32,Open,Spiller Frispark Begået | Kostas Tsimikas,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kostas Tsimikas,Over 1.5,2.5,Open,Spiller Frispark Begået | Kostas Tsimikas,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kouadio Kone,Over 0.5,1.27,Open,Spiller Frispark Begået | Kouadio Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kouadio Kone,Over 1.5,2.38,Open,Spiller Frispark Begået | Kouadio Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Laurs Skjellerup,Over 0.5,1.16,Open,Spiller Frispark Begået | Laurs Skjellerup,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Laurs Skjellerup,Over 1.5,1.9,Open,Spiller Frispark Begået | Laurs Skjellerup,2026-01-10T17:00:00+00:00
