event,player,selectionLabel,marketLabel,payout_betinia,payout_expekt,payout_betano,best_bookmaker,best_payout,second_best_payout,ratio_best_over_second
Algeriet vs Nigeria,Ebenezer Akinsanmiro,Over 1.5,Spillers samlede antal skud | Ebenezer Akinsanmiro,,1.83,3.1,Betano,3.1,1.83,1.6939890710382512
Como 1907 vs Bologna,Ivan Smolcic,Yes,Spiller får kort | Ivan Smolcic,,3.8,2.25,Expekt,3.8,2.25,1.6888888888888889
Egypten vs Elfenbenskysten,Mohamed Salah,Over 1.5,Antal afslutninger på mål | Mohamed Salah,,3.2,5.4,Betano,5.4,3.2,1.6875
Real Oviedo vs Real Betis,Ivan Corralejo,Over 2.5,Spillers samlede antal skud | Ivan Corralejo,1.75,,2.95,Betano,2.95,1.75,1.6857142857142857
Valencia vs Elche,Adam Boayar,Yes,Spiller får kort | Adam Boayar,3.1,,5.2,Betano,5.2,3.1,1.6774193548387097
Valencia vs Elche,Lucas Nunez,Over 1.5,Spillers samlede antal skud | Lucas Nunez,1.85,,3.1,Betano,3.1,1.85,1.6756756756756757
Atalanta vs Torino,Saba Sazonov,Yes,Spiller får kort | Saba Sazonov,3.0,2.62,5.0,Betano,5.0,3.0,1.6666666666666667
Como 1907 vs Bologna,Santiago Castro,Yes,Spiller får kort | Santiago Castro,,2.88,4.8,Betano,4.8,2.88,1.6666666666666667
Girona vs Ca Osasuna,Ruben Garcia,Over 0.5,Spillers samlede antal assister | Ruben Garcia,,5.5,3.3,Expekt,5.5,3.3,1.6666666666666667
Valencia vs Elche,David Affengruber,Yes,Spiller får kort | David Affengruber,3.0,5.0,2.07,Expekt,5.0,3.0,1.6666666666666667
Girona vs Ca Osasuna,Jon Moncayola,Over 1.5,Spillers samlede antal skud | Jon Moncayola,,2.1,3.5,Betano,3.5,2.1,1.6666666666666665
Udinese vs Pisa,Matteo Tramoni,Over 2.5,Spillers samlede antal skud | Matteo Tramoni,1.8,3.0,,Expekt,3.0,1.8,1.6666666666666665
Villarreal vs Alaves,Aitor Manas,Yes,Spiller får kort | Aitor Manas,2.8572,,4.75,Betano,4.75,2.8572,1.6624667506649866
Villarreal vs Alaves,Carlos Ballestero,Yes,Spiller får kort | Carlos Ballestero,2.7143,4.5,,Expekt,4.5,2.7143,1.6578860111262572
Atalanta vs Torino,Ivan Ilic,Yes,Spiller får kort | Ivan Ilic,2.5455,4.2,,Expekt,4.2,2.5455,1.6499705362404242
Atalanta vs Torino,Kamaldeen Sulemana,Over 2.5,Spillers samlede antal skud | Kamaldeen Sulemana,,1.73,2.85,Betano,2.85,1.73,1.647398843930636
Villarreal vs Alaves,Juan Foyth,Over 1.5,Spillers samlede antal tacklinger | Juan Foyth,2.125,1.29,,Betinia,2.125,1.29,1.6472868217054264
Egypten vs Elfenbenskysten,Bazoumana Toure,Over 2.5,Spillers samlede antal skud | Bazoumana Toure,,2.25,3.7,Betano,3.7,2.25,1.6444444444444446
Rayo Vallecano vs Mallorca,David Lopez,Yes,Spiller får kort | David Lopez,2.75,4.5,,Expekt,4.5,2.75,1.6363636363636365
Girona vs Ca Osasuna,Cristhian Stuani,Over 3.5,Spillers samlede antal skud | Cristhian Stuani,,3.2,5.2,Betano,5.2,3.2,1.625
Levante vs Espanyol,Adrian De La Fuente,Over 1.5,Spillers samlede antal skud | Adrian De La Fuente,,3.2,5.2,Betano,5.2,3.2,1.625
Levante vs Espanyol,Pablo Martinez,Over 1.5,Spillers samlede antal skud | Pablo Martinez,1.2223,1.4,2.27,Betano,2.27,1.4,1.6214285714285714
Como 1907 vs Bologna,Nicolo Cambiaghi,Over 2.5,Spillers samlede antal skud | Nicolo Cambiaghi,,3.4,5.5,Betano,5.5,3.4,1.6176470588235294
Levante vs Espanyol,Alan Matturro,Yes,Spiller får kort | Alan Matturro,3.4,5.5,3.4,Expekt,5.5,3.4,1.6176470588235294
