selectionLabel,odds_decimal,status_selection,marketLabel,deadline,player,line
Over 0.5,4.75,Open,Antal afslutninger på mål | Ryan Gravenberch,2026-01-08T20:00:00Z,Ryan Gravenberch,
Over 1.5,10.0,Open,Antal afslutninger på mål | Riccardo Calafiori,2026-01-08T20:00:00Z,Riccardo Calafiori,
Over 0.5,2.55,Open,Antal afslutninger på mål | Riccardo Calafiori,2026-01-08T20:00:00Z,Riccardo Calafiori,
Over 1.5,17.0,Open,Antal afslutninger på mål | Alexis Mac Allister,2026-01-08T20:00:00Z,Alexis Mac Allister,
Over 0.5,3.3,Open,Antal afslutninger på mål | Alexis Mac Allister,2026-01-08T20:00:00Z,Alexis Mac Allister,
Over 0.5,6.0,Open,Antal afslutninger på mål | Andrew Robertson,2026-01-08T20:00:00Z,Andrew Robertson,
Over 0.5,9.5,Open,Antal afslutninger på mål | Wataru Endo,2026-01-08T20:00:00Z,Wataru Endo,
Over 1.5,7.0,Open,Antal afslutninger på mål | Martin Ødegaard,2026-01-08T20:00:00Z,Martin Ødegaard,
Over 0.5,2.1,Open,Antal afslutninger på mål | Martin Ødegaard,2026-01-08T20:00:00Z,Martin Ødegaard,
Over 0.5,5.0,Open,Antal afslutninger på mål | Calvin Ramsay,2026-01-08T20:00:00Z,Calvin Ramsay,
Over 0.5,3.5,Open,Antal afslutninger på mål | Marli Salmon,2026-01-08T20:00:00Z,Marli Salmon,
Over 1.5,18.0,Open,Antal afslutninger på mål | Marli Salmon,2026-01-08T20:00:00Z,Marli Salmon,
Over 0.5,5.0,Open,Antal afslutninger på mål | Stefan Bajcetic,2026-01-08T20:00:00Z,Stefan Bajcetic,
Over 0.5,1.55,Open,Antal afslutninger på mål | Viktor Gyökeres,2026-01-08T20:00:00Z,Viktor Gyökeres,
Over 1.5,3.7,Open,Antal afslutninger på mål | Viktor Gyökeres,2026-01-08T20:00:00Z,Viktor Gyökeres,
Over 1.5,2.15,Open,Antal afslutninger på mål | Gabriel Jesus,2026-01-08T20:00:00Z,Gabriel Jesus,
Over 0.5,1.25,Open,Antal afslutninger på mål | Gabriel Jesus,2026-01-08T20:00:00Z,Gabriel Jesus,
Over 2.5,4.75,Open,Antal afslutninger på mål | Gabriel Jesus,2026-01-08T20:00:00Z,Gabriel Jesus,
Over 1.5,6.5,Open,Antal afslutninger på mål | Michael Laffey,2026-01-08T20:00:00Z,Michael Laffey,
Over 0.5,2.05,Open,Antal afslutninger på mål | Michael Laffey,2026-01-08T20:00:00Z,Michael Laffey,
Over 0.5,2.2,Open,Antal afslutninger på mål | Kaide Gordon,2026-01-08T20:00:00Z,Kaide Gordon,
Over 1.5,7.5,Open,Antal afslutninger på mål | Kaide Gordon,2026-01-08T20:00:00Z,Kaide Gordon,
Over 0.5,4.0,Open,Antal afslutninger på mål | William Saliba,2026-01-08T20:00:00Z,William Saliba,
Over 0.5,4.75,Open,Antal afslutninger på mål | Jeremie Frimpong,2026-01-08T20:00:00Z,Jeremie Frimpong,
Over 0.5,4.5,Open,Antal afslutninger på mål | Conor Bradley,2026-01-08T20:00:00Z,Conor Bradley,
Over 1.5,2.95,Open,Antal afslutninger på mål | Charles Sagoe Jr,2026-01-08T20:00:00Z,Charles Sagoe Jr,
Over 0.5,1.42,Open,Antal afslutninger på mål | Charles Sagoe Jr,2026-01-08T20:00:00Z,Charles Sagoe Jr,
Over 0.5,1.23,Open,Antal afslutninger på mål | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Andre HarrimanAnnous,
Over 2.5,4.5,Open,Antal afslutninger på mål | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Andre HarrimanAnnous,
Over 1.5,2.1,Open,Antal afslutninger på mål | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Andre HarrimanAnnous,
Over 0.5,5.5,Open,Antal afslutninger på mål | Virgil van Dijk,2026-01-08T20:00:00Z,Virgil van Dijk,
Over 1.5,15.0,Open,Antal afslutninger på mål | Josh Nichols,2026-01-08T20:00:00Z,Josh Nichols,
Over 0.5,3.2,Open,Antal afslutninger på mål | Josh Nichols,2026-01-08T20:00:00Z,Josh Nichols,
Over 0.5,3.8,Open,Antal afslutninger på mål | Martin Zubimendi,2026-01-08T20:00:00Z,Martin Zubimendi,
Over 1.5,20.0,Open,Antal afslutninger på mål | Martin Zubimendi,2026-01-08T20:00:00Z,Martin Zubimendi,
Over 0.5,6.5,Open,Antal afslutninger på mål | Cristhian Mosquera,2026-01-08T20:00:00Z,Cristhian Mosquera,
Over 1.5,12.0,Open,Antal afslutninger på mål | Florian Wirtz,2026-01-08T20:00:00Z,Florian Wirtz,
Over 0.5,2.8,Open,Antal afslutninger på mål | Florian Wirtz,2026-01-08T20:00:00Z,Florian Wirtz,
Over 0.5,1.42,Open,Antal afslutninger på mål | Bukayo Saka,2026-01-08T20:00:00Z,Bukayo Saka,
Over 1.5,3.0,Open,Antal afslutninger på mål | Bukayo Saka,2026-01-08T20:00:00Z,Bukayo Saka,
Over 0.5,7.5,Open,Antal afslutninger på mål | Giovanni Leoni,2026-01-08T20:00:00Z,Giovanni Leoni,
Over 1.5,19.0,Open,Antal afslutninger på mål | Ben White,2026-01-08T20:00:00Z,Ben White,
Over 0.5,3.6,Open,Antal afslutninger på mål | Ben White,2026-01-08T20:00:00Z,Ben White,
Over 0.5,3.9,Open,Antal afslutninger på mål | Myles Lewis-skelly,2026-01-08T20:00:00Z,Myles Lewis-skelly,
Over 1.5,20.0,Open,Antal afslutninger på mål | Myles Lewis-skelly,2026-01-08T20:00:00Z,Myles Lewis-skelly,
Over 1.5,11.0,Open,Antal afslutninger på mål | Dominik Szoboszlai,2026-01-08T20:00:00Z,Dominik Szoboszlai,
Over 0.5,2.65,Open,Antal afslutninger på mål | Dominik Szoboszlai,2026-01-08T20:00:00Z,Dominik Szoboszlai,
Over 1.5,15.0,Open,Antal afslutninger på mål | Gabriel Magalhaes,2026-01-08T20:00:00Z,Gabriel Magalhaes,
Over 0.5,3.2,Open,Antal afslutninger på mål | Gabriel Magalhaes,2026-01-08T20:00:00Z,Gabriel Magalhaes,
Over 0.5,7.5,Open,Antal afslutninger på mål | Joe Gomez,2026-01-08T20:00:00Z,Joe Gomez,
Over 1.5,20.0,Open,Antal afslutninger på mål | Trent Kone-Doherty,2026-01-08T20:00:00Z,Trent Kone-Doherty,
Over 0.5,3.7,Open,Antal afslutninger på mål | Trent Kone-Doherty,2026-01-08T20:00:00Z,Trent Kone-Doherty,
Over 0.5,6.0,Open,Antal afslutninger på mål | Amara Nallo,2026-01-08T20:00:00Z,Amara Nallo,
Over 0.5,6.0,Open,Antal afslutninger på mål | Ibrahima Konate,2026-01-08T20:00:00Z,Ibrahima Konate,
Over 0.5,2.05,Open,Antal afslutninger på mål | Kieran Morrison,2026-01-08T20:00:00Z,Kieran Morrison,
Over 1.5,6.5,Open,Antal afslutninger på mål | Kieran Morrison,2026-01-08T20:00:00Z,Kieran Morrison,
Over 0.5,3.2,Open,Antal afslutninger på mål | Jurrien Timber,2026-01-08T20:00:00Z,Jurrien Timber,
Over 1.5,15.0,Open,Antal afslutninger på mål | Jurrien Timber,2026-01-08T20:00:00Z,Jurrien Timber,
Over 1.5,4.75,Open,Antal afslutninger på mål | Leandro Trossard,2026-01-08T20:00:00Z,Leandro Trossard,
Over 0.5,1.78,Open,Antal afslutninger på mål | Leandro Trossard,2026-01-08T20:00:00Z,Leandro Trossard,
