event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 0.5,1.88,Open,Antal afslutninger på mål | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 1.5,11.25,Open,Antal afslutninger på mål | Carney Chukwuemeka,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 2.5,22.0,Open,Antal afslutninger på mål | Carney Chukwuemeka,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 0.5,3.05,Open,Antal afslutninger på mål | Daniel Svensson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 1.5,12.0,Open,Antal afslutninger på mål | Daniel Svensson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 2.5,22.0,Open,Antal afslutninger på mål | Daniel Svensson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,David Ludwig Lelle,Over 0.5,5.0,Open,Antal afslutninger på mål | David Ludwig Lelle,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,David Ludwig Lelle,Over 1.5,19.5,Open,Antal afslutninger på mål | David Ludwig Lelle,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,David Ludwig Lelle,Over 2.5,25.0,Open,Antal afslutninger på mål | David Ludwig Lelle,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Eba Bekir Is,Over 0.5,5.1,Open,Antal afslutninger på mål | Eba Bekir Is,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Eba Bekir Is,Over 1.5,20.0,Open,Antal afslutninger på mål | Eba Bekir Is,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Eba Bekir Is,Over 2.5,25.0,Open,Antal afslutninger på mål | Eba Bekir Is,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Elias Benkara,Over 0.5,5.0,Open,Antal afslutninger på mål | Elias Benkara,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Elias Benkara,Over 1.5,19.5,Open,Antal afslutninger på mål | Elias Benkara,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Elias Benkara,Over 2.5,25.0,Open,Antal afslutninger på mål | Elias Benkara,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 0.5,4.5,Open,Antal afslutninger på mål | Emre Can,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 1.5,18.5,Open,Antal afslutninger på mål | Emre Can,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 2.5,24.0,Open,Antal afslutninger på mål | Emre Can,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 0.5,2.87,Open,Antal afslutninger på mål | Felix Nmecha,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 1.5,11.25,Open,Antal afslutninger på mål | Felix Nmecha,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 2.5,22.0,Open,Antal afslutninger på mål | Felix Nmecha,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 0.5,5.0,Open,Antal afslutninger på mål | Filippo Calixte Mane,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 1.5,19.5,Open,Antal afslutninger på mål | Filippo Calixte Mane,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 2.5,25.0,Open,Antal afslutninger på mål | Filippo Calixte Mane,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fábio Silva,Over 0.5,1.37,Open,Antal afslutninger på mål | Fábio Silva,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fábio Silva,Over 1.5,2.67,Open,Antal afslutninger på mål | Fábio Silva,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fábio Silva,Over 2.5,6.4,Open,Antal afslutninger på mål | Fábio Silva,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fábio Silva,Over 3.5,14.0,Open,Antal afslutninger på mål | Fábio Silva,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fábio Silva,Over 4.5,21.0,Open,Antal afslutninger på mål | Fábio Silva,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Hugo Larsson,Over 0.5,3.25,Open,Antal afslutninger på mål | Hugo Larsson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Hugo Larsson,Over 1.5,13.0,Open,Antal afslutninger på mål | Hugo Larsson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Hugo Larsson,Over 2.5,23.0,Open,Antal afslutninger på mål | Hugo Larsson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jean-Matteo Bahoya,Over 0.5,2.15,Open,Antal afslutninger på mål | Jean-Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jean-Matteo Bahoya,Over 1.5,6.9,Open,Antal afslutninger på mål | Jean-Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jean-Matteo Bahoya,Over 2.5,17.0,Open,Antal afslutninger på mål | Jean-Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jean-Matteo Bahoya,Over 3.5,24.0,Open,Antal afslutninger på mål | Jean-Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 0.5,1.75,Open,Antal afslutninger på mål | Jessic Ngankam,2026-01-09T19:30:00+00:00
