event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,payout_betinia,payout_expekt,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_max,best_bookmaker,best_payout,other_bookmaker,other_payout
Eintracht Frankfurt vs Borussia Dortmund,Love Arrhov,Over 0.5,1.2858,Open,Spiller Frispark Begået | Love Arrhov,nan,,,,1.2858,,,,,Expekt,,Betinia,1.2858
Eintracht Frankfurt vs Borussia Dortmund,Love Arrhov,Over 1.5,2.4546,Open,Spiller Frispark Begået | Love Arrhov,nan,,,,2.4546,,,,,Expekt,,Betinia,2.4546
Eintracht Frankfurt vs Borussia Dortmund,Love Arrhov,Over 2.5,5.5,Open,Spiller Frispark Begået | Love Arrhov,nan,,,,5.5,,,,,Expekt,,Betinia,5.5
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 0.5,1.1,Open,Spiller Frispark Begået | Mahmoud Dahoud,nan,1.36,Open,2026-01-09T19:30:00+00:00,1.1,1.36,0.8088235294117647,1.2363636363636363,1.2363636363636363,Expekt,1.36,Betinia,1.1
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 1.5,1.7143,Open,Spiller Frispark Begået | Mahmoud Dahoud,nan,2.88,Open,2026-01-09T19:30:00+00:00,1.7143,2.88,0.5952430555555556,1.6799860001166658,1.6799860001166658,Expekt,2.88,Betinia,1.7143
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 2.5,3.1,Open,Spiller Frispark Begået | Mahmoud Dahoud,nan,,,,3.1,,,,,Expekt,,Betinia,3.1
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 0.5,1.35,Open,Spiller Frispark Begået | Marcel Sabitzer,nan,1.5,Open,2026-01-09T19:30:00+00:00,1.35,1.5,0.9,1.111111111111111,1.111111111111111,Expekt,1.5,Betinia,1.35
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 1.5,2.7143,Open,Spiller Frispark Begået | Marcel Sabitzer,nan,3.6,Open,2026-01-09T19:30:00+00:00,2.7143,3.6,0.7539722222222223,1.3263088089010058,1.3263088089010058,Expekt,3.6,Betinia,2.7143
Eintracht Frankfurt vs Borussia Dortmund,Mario Götze,Over 0.5,1.5455,Open,Spiller Frispark Begået | Mario Götze,nan,,,,1.5455,,,,,Expekt,,Betinia,1.5455
Eintracht Frankfurt vs Borussia Dortmund,Mario Götze,Over 1.5,3.6,Open,Spiller Frispark Begået | Mario Götze,nan,,,,3.6,,,,,Expekt,,Betinia,3.6
Eintracht Frankfurt vs Borussia Dortmund,Marvin Dills,Over 0.5,1.2308,Open,Spiller Frispark Begået | Marvin Dills,nan,,,,1.2308,,,,,Expekt,,Betinia,1.2308
Eintracht Frankfurt vs Borussia Dortmund,Marvin Dills,Over 1.5,2.25,Open,Spiller Frispark Begået | Marvin Dills,nan,,,,2.25,,,,,Expekt,,Betinia,2.25
Eintracht Frankfurt vs Borussia Dortmund,Marvin Dills,Over 2.5,4.75,Open,Spiller Frispark Begået | Marvin Dills,nan,,,,4.75,,,,,Expekt,,Betinia,4.75
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 0.5,1.3847,Open,Spiller Frispark Begået | Maximilian Beier,nan,1.33,Open,2026-01-09T19:30:00+00:00,1.3847,1.33,1.0411278195488722,0.9604968585253124,1.0411278195488722,Betinia,1.3847,Expekt,1.33
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 1.5,2.8572,Open,Spiller Frispark Begået | Maximilian Beier,nan,2.8,Open,2026-01-09T19:30:00+00:00,2.8572,2.8,1.0204285714285715,0.9799804003919921,1.0204285714285715,Betinia,2.8572,Expekt,2.8
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 0.5,1.5455,Open,Spiller Frispark Begået | Nathaniel Brown,nan,1.22,Open,2026-01-09T19:30:00+00:00,1.5455,1.22,1.2668032786885246,0.7893885473956648,1.2668032786885246,Betinia,1.5455,Expekt,1.22
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 1.5,3.6,Open,Spiller Frispark Begået | Nathaniel Brown,nan,2.2,Open,2026-01-09T19:30:00+00:00,3.6,2.2,1.6363636363636362,0.6111111111111112,1.6363636363636362,Betinia,3.6,Expekt,2.2
Eintracht Frankfurt vs Borussia Dortmund,Nico Schlotterbeck,Over 0.5,1.52,Open,Spiller Frispark Begået | Nico Schlotterbeck,nan,1.33,Open,2026-01-09T19:30:00+00:00,1.52,1.33,1.1428571428571428,0.875,1.1428571428571428,Betinia,1.52,Expekt,1.33
Eintracht Frankfurt vs Borussia Dortmund,Nico Schlotterbeck,Over 1.5,3.5,Open,Spiller Frispark Begået | Nico Schlotterbeck,nan,2.8,Open,2026-01-09T19:30:00+00:00,3.5,2.8,1.25,0.7999999999999999,1.25,Betinia,3.5,Expekt,2.8
Eintracht Frankfurt vs Borussia Dortmund,Niklas Sule,Over 0.5,1.95,Open,Spiller Frispark Begået | Niklas Sule,nan,1.53,Open,2026-01-09T19:30:00+00:00,1.95,1.53,1.2745098039215685,0.7846153846153846,1.2745098039215685,Betinia,1.95,Expekt,1.53
Eintracht Frankfurt vs Borussia Dortmund,Niklas Sule,Over 1.5,5.5,Open,Spiller Frispark Begået | Niklas Sule,nan,3.8,Open,2026-01-09T19:30:00+00:00,5.5,3.8,1.4473684210526316,0.6909090909090909,1.4473684210526316,Betinia,5.5,Expekt,3.8
Eintracht Frankfurt vs Borussia Dortmund,Noah Gabriel Fenyő,Over 0.5,1.2308,Open,Spiller Frispark Begået | Noah Gabriel Fenyő,nan,,,,1.2308,,,,,Expekt,,Betinia,1.2308
