event,player,selectionLabel,marketLabel,deadline,status_selection_betsson,odds_decimal_betsson,status_selection_betano,odds_decimal_betano
Arsenal vs Liverpool,Calvin Ramsay,Over 0.5,Spiller Frispark Begået | Calvin Ramsay,2026-01-08T20:00:00Z,Open,1.4,Open,1.59
Arsenal vs Liverpool,Calvin Ramsay,Over 1.5,Spiller Frispark Begået | Calvin Ramsay,2026-01-08T20:00:00Z,Open,2.75,,
Arsenal vs Liverpool,Carter Pinnington,Over 0.5,Spiller Frispark Begået | Carter Pinnington,2026-01-08T20:00:00Z,Open,1.35,Open,1.79
Arsenal vs Liverpool,Carter Pinnington,Over 1.5,Spiller Frispark Begået | Carter Pinnington,2026-01-08T20:00:00Z,Open,2.65,,
Arsenal vs Liverpool,Carter Pinnington,Over 2.5,Spiller Frispark Begået | Carter Pinnington,2026-01-08T20:00:00Z,Open,6.0,,
Arsenal vs Liverpool,Charles Sagoe Jr,Over 0.5,Spiller Frispark Begået | Charles Sagoe Jr,2026-01-08T20:00:00Z,Open,1.65,,
Arsenal vs Liverpool,Charles Sagoe Jr,Over 1.5,Spiller Frispark Begået | Charles Sagoe Jr,2026-01-08T20:00:00Z,Open,3.9,,
Arsenal vs Liverpool,Christian Nørgaard,Over 0.5,Spiller Frispark Begået | Christian Nørgaard,2026-01-08T20:00:00Z,Open,1.14,,
Arsenal vs Liverpool,Christian Nørgaard,Over 1.5,Spiller Frispark Begået | Christian Nørgaard,2026-01-08T20:00:00Z,Open,1.75,Open,2.27
Arsenal vs Liverpool,Christian Nørgaard,Over 2.5,Spiller Frispark Begået | Christian Nørgaard,2026-01-08T20:00:00Z,Open,3.2,,
Arsenal vs Liverpool,Cody Gakpo,Over 0.5,Spiller Frispark Begået | Cody Gakpo,2026-01-08T20:00:00Z,Open,1.27,,
Arsenal vs Liverpool,Cody Gakpo,Over 1.5,Spiller Frispark Begået | Cody Gakpo,2026-01-08T20:00:00Z,Open,2.25,Open,2.76
Arsenal vs Liverpool,Cody Gakpo,Over 2.5,Spiller Frispark Begået | Cody Gakpo,2026-01-08T20:00:00Z,Open,4.75,,
Arsenal vs Liverpool,Conor Bradley,Over 0.5,Spiller Frispark Begået | Conor Bradley,2026-01-08T20:00:00Z,Open,1.22,,
Arsenal vs Liverpool,Conor Bradley,Over 1.5,Spiller Frispark Begået | Conor Bradley,2026-01-08T20:00:00Z,Open,2.05,Open,2.65
Arsenal vs Liverpool,Conor Bradley,Over 2.5,Spiller Frispark Begået | Conor Bradley,2026-01-08T20:00:00Z,Open,4.0,,
Arsenal vs Liverpool,Cristhian Mosquera,Over 0.5,Spiller Frispark Begået | Cristhian Mosquera,2026-01-08T20:00:00Z,Open,2.65,Open,1.78
Arsenal vs Liverpool,Cristhian Mosquera,Over 1.5,Spiller Frispark Begået | Cristhian Mosquera,2026-01-08T20:00:00Z,Open,9.0,,
Arsenal vs Liverpool,Curtis Jones,Over 0.5,Spiller Frispark Begået | Curtis Jones,2026-01-08T20:00:00Z,Open,1.58,,
