event,player,selectionLabel,marketLabel,deadline,status_selection_betsson,odds_decimal_betsson,status_selection_betano,odds_decimal_betano,status_selection_expekt,odds_decimal_expekt,best_bookmaker,best_odds_decimal,second_bookmaker,second_best_odds_decimal,ratio_best_over_second
Arsenal vs Liverpool,Gabriel Jesus,Over 1.5,Spiller Frispark Begået | Gabriel Jesus,,Open,1.85,Open,2.51,,,Betano,2.51,Betsson,1.85,1.3567567567567567
Arsenal vs Liverpool,Gabriel Jesus,Over 2.5,Spiller Frispark Begået | Gabriel Jesus,,Open,3.5,,,,,Betsson,3.5,,,
Arsenal vs Liverpool,Gabriel Magalhaes,Over 0.5,Spiller Frispark Begået | Gabriel Magalhaes,2026-01-08T20:00:00+00:00,Open,1.78,,,Open,1.67,Betsson,1.78,Expekt,1.67,1.0658682634730539
Arsenal vs Liverpool,Gabriel Magalhaes,Over 1.5,Spiller Frispark Begået | Gabriel Magalhaes,2026-01-08T20:00:00+00:00,Open,4.5,,,Open,4.5,Betsson,4.5,Expekt,4.5,1.0
Arsenal vs Liverpool,Gabriel Martinelli,Over 0.5,Spiller Frispark Begået | Gabriel Martinelli,2026-01-08T20:00:00+00:00,Open,1.78,Open,1.61,Open,1.44,Betsson,1.78,Betano,1.61,1.105590062111801
Arsenal vs Liverpool,Gabriel Martinelli,Over 1.5,Spiller Frispark Begået | Gabriel Martinelli,2026-01-08T20:00:00+00:00,Open,4.5,,,Open,3.4,Betsson,4.5,Expekt,3.4,1.3235294117647058
Arsenal vs Liverpool,Giovanni Leoni,Over 0.5,Spiller Frispark Begået | Giovanni Leoni,,Open,1.58,Open,1.75,,,Betano,1.75,Betsson,1.58,1.1075949367088607
Arsenal vs Liverpool,Giovanni Leoni,Over 1.5,Spiller Frispark Begået | Giovanni Leoni,,Open,3.6,,,,,Betsson,3.6,,,
Arsenal vs Liverpool,Hugo Ekitike,Over 0.5,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00+00:00,Open,1.16,,,Open,1.2,Expekt,1.2,Betsson,1.16,1.0344827586206897
Arsenal vs Liverpool,Hugo Ekitike,Over 1.5,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00+00:00,Open,1.82,Open,2.02,Open,2.05,Expekt,2.05,Betano,2.02,1.0148514851485149
Arsenal vs Liverpool,Hugo Ekitike,Over 2.5,Spiller Frispark Begået | Hugo Ekitike,,Open,3.4,,,,,Betsson,3.4,,,
Arsenal vs Liverpool,Ibrahima Konate,Over 0.5,Spiller Frispark Begået | Ibrahima Konate,2026-01-08T20:00:00+00:00,Open,1.28,,,Open,1.4,Expekt,1.4,Betsson,1.28,1.09375
Arsenal vs Liverpool,Ibrahima Konate,Over 1.5,Spiller Frispark Begået | Ibrahima Konate,2026-01-08T20:00:00+00:00,Open,2.3,,,Open,3.2,Expekt,3.2,Betsson,2.3,1.3913043478260871
Arsenal vs Liverpool,Ibrahima Konate,Over 2.5,Spiller Frispark Begået | Ibrahima Konate,,Open,4.75,,,,,Betsson,4.75,,,
Arsenal vs Liverpool,Jayden Danns,Over 0.5,Spiller Frispark Begået | Jayden Danns,,Open,1.45,,,,,Betsson,1.45,,,
Arsenal vs Liverpool,Jayden Danns,Over 1.5,Spiller Frispark Begået | Jayden Danns,,Open,3.0,Open,3.06,,,Betano,3.06,Betsson,3.0,1.02
Arsenal vs Liverpool,Jeremie Frimpong,Over 0.5,Spiller Frispark Begået | Jeremie Frimpong,2026-01-08T20:00:00+00:00,Open,1.4,,,Open,1.5,Expekt,1.5,Betsson,1.4,1.0714285714285714
Arsenal vs Liverpool,Jeremie Frimpong,Over 1.5,Spiller Frispark Begået | Jeremie Frimpong,2026-01-08T20:00:00+00:00,Open,2.75,Open,2.46,Open,3.5,Expekt,3.5,Betsson,2.75,1.2727272727272727
Arsenal vs Liverpool,Joe Gomez,Over 0.5,Spiller Frispark Begået | Joe Gomez,,Open,1.3,,,,,Betsson,1.3,,,
Arsenal vs Liverpool,Joe Gomez,Over 1.5,Spiller Frispark Begået | Joe Gomez,,Open,2.35,Open,2.52,,,Betano,2.52,Betsson,2.35,1.0723404255319149
Arsenal vs Liverpool,Joe Gomez,Over 2.5,Spiller Frispark Begået | Joe Gomez,,Open,5.0,,,,,Betsson,5.0,,,
Arsenal vs Liverpool,Josh Nichols,Over 0.5,Spiller Frispark Begået | Josh Nichols,,Open,1.52,Open,1.63,,,Betano,1.63,Betsson,1.52,1.0723684210526314
Arsenal vs Liverpool,Josh Nichols,Over 1.5,Spiller Frispark Begået | Josh Nichols,,Open,3.4,,,,,Betsson,3.4,,,
Arsenal vs Liverpool,Jurrien Timber,Over 0.5,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00+00:00,Open,1.24,,,Open,1.2,Betsson,1.24,Expekt,1.2,1.0333333333333334
Arsenal vs Liverpool,Jurrien Timber,Over 1.5,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00+00:00,Open,2.15,Open,2.94,Open,2.0,Betano,2.94,Betsson,2.15,1.3674418604651164
